lot_no,artist,title,year_birth,year_death,price_sold,estimate,signature,medium,dim_0,dim_1,year_creation,provenence,image_url
533,Baltasar Lobo,Grande jeune fille à genoux,1910,1993,"USD 612,500","USD 200,000 - USD 300,000",signed and numbered 'Lobo 2/8' (on the top of the base); stamped with foundry mark 'FONDERIA ART. F.LLI BONVICINI SOMMACAMPAGNA' (on the back of the base),bronze with dark brown patina,215,N.A.,Conceived in 1987; this bronze version cast in 1993,"
    Galerie Freites, Caracas.
    
    Acquired from the above by the present owner,
    
     circa
    
    2004.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0533_000(baltasar_lobo_grande_jeune_fille_a_genoux).jpg?w=400
460,Bernard Buffet,Nature morte à la cafetière bleue,1928,1999,"USD 93,750","USD 40,000 - USD 60,000",signed and dated 'Bernard Buffet 58' (lower left),oil on canvas,65,46,Painted in 1958,"
    Galerie E. David et M. Garnier, Paris.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0460_000(bernard_buffet_nature_morte_a_la_cafetiere_bleue).jpg?w=400
525,Armand Guillaumin,Moulin Bouchardon,1841,1927,"USD 32,500","USD 40,000 - USD 60,000",signed 'Guillaumin' (lower right),oil on canvas,54.4,65,Painted   circa  1900,"
    Galerie Bernheim-Jeune et Cie., Paris (by 1933).
    
    Galerie de l'Art Moderne, Paris (by 1965).
    
    Private collection, France; sale, Christie's, London, 8 February 2005, lot 323.
    
    Private collection, Paris; sale, Christie's, London, 21 June 2006, lot 256.
    
    Private collection, Stuttgart; sale, Sotheby's, London, 9 February 2012, lot 143.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0525_000(armand_guillaumin_moulin_bouchardon).jpg?w=400
319,Jean-Pierre Cassigneul,Femme en vert,1935,N.A.,"USD 106,250","USD 50,000 - USD 70,000",signed 'CASSIGNEUL.' (lower left),oil on canvas,91.7,72.7,Painted   circa  1960,"
    Galerie Juarez, Inc., Los Angeles.
    
    Private collection, Los Angeles (acquired from the above,
    
     circa
    
    1970).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0319_000(jean-pierre_cassigneul_femme_en_vert).jpg?w=400
339,Édouard Vuillard,Quatre personnages devant un parapet,1868,1940,"USD 187,500","USD 70,000 - USD 100,000",N.A.,stamped twice with signature 'E. Vuillard' (Lugt 2497a; lower left and lower right),39.7,43.8,Painted in 1901,"
    Estate of the artist.
    
    E.J. van Wisselingh & Co., Amsterdam.
    
    H.P. Doodeheefver, Hilversum, Netherlands (1954).
    
    Anon. sale, Sotheby & Co., London, 1 July 1959, lot 86.
    
    Arthur Tooth & Sons, Ltd., London (acquired at the above sale).
    
    Acquired from the above by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0339_000(edouard_vuillard_quatre_personnages_devant_un_parapet).jpg?w=400
505,Henri Fantin-Latour,"Fleurs, Dahlias, Glaïeuls",1836,1904,"USD 56,250","USD 60,000 - USD 80,000",N.A.,oil on canvas,27,35,Painted in 1879,"
    Dieuzaide collection.
    
    F. and J. Tempelaere, Paris.
    
    Alex. Reid, Glasgow.
    
    Mme Gerhard Otteu, Switzerland.
    
    Acquired by the present owner,
    
     circa
    
    2000.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0505_000(henri_fantin-latour_fleurs_dahlias_glaieuls).jpg?w=400
381,Édouard Vuillard,Tasse et mandarine,1868,1940,"USD 396,500","USD 200,000 - USD 300,000",signed 'E. Vuillard' (upper left),oil on canvas,19,25.1,Painted in 1887-1888,"
    Estate of the artist.
    
    Galerie Alfred Daber, Paris (acquired from the above, 1941).
    
    The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
    
    Acquired from the above by the late owner, 1985.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0381_000(edouard_vuillard_tasse_et_mandarine).jpg?w=400
417,Maximilien Luce,Une Cuisine,1858,1941,"USD 1,002,500","USD 700,000 - USD 1,000,000",signed 'Luce' (lower right),oil on canvas,65.1,54,Painted in 1888-1889,"
    Jean Sutter, Paris; Estate sale, Sotheby Parke Bernet & Co., London, 8 December 1977, lot 320.
    
    Musée du Petit Palais, Geneva.
    
    Stanford Z. Rothschild, Jr., Baltimore (December 1982).
    
    Gift from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0417_000(maximilien_luce_une_cuisine).jpg?w=400
378,Jeanne Guérard-Gonzalès,Eva Gonzalès à Dieppe,1852,1924,"USD 9,375","USD 10,000 - USD 15,000",N.A.,indistinctly stamped 'Eva Gonzalès' (lower right),46.4,38.1,Painted   circa  1880,"
    Mme Guinard, Paris (daughter of the artist).
    
    Paul Rosenberg & Co., New York.
    
    Spring Creek Art Foundation, Inc. (acquired from the above); sale, Christie's, New York, 22 February 2005, lot 9.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0378_000(jeanne_guerard-gonzales_eva_gonzales_a_dieppe).jpg?w=400
544,André Hambourg,"Les petits chevaux sur la plage, par beau temps (à Trouville)",1909,1999,"USD 40,000","USD 25,000 - USD 35,000","signed 'a. hambourg' (lower right); signed again with initials, titled and dated 'a.h. ""Les petits chevaux sur la plage, par beau temps"" (à Trouville) 04' (on the reverse)",oil on canvas,65.4,81,Painted in 1974,"
    Galerie Paul Pétridès, Paris.
    
    Acquired from the above by the family of the present owners, 1978.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0544_000(andre_hambourg_les_petits_chevaux_sur_la_plage_par_beau_temps).jpg?w=400
513,Henri Lebasque,Mère et enfant,1865,1937,"USD 65,000","USD 30,000 - USD 50,000",signed 'H Lebasque' (lower left),oil on canvas,46,56.9,Painted in 1901-1902,"
    Kaplan Gallery, London.
    
    Hammer Galleries, New York.
    
    Contini Galería de Arte S.A., Caracas.
    
    Acquired from the above by the family of the present owner, September 1977.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0513_000(henri_lebasque_mere_et_enfant).jpg?w=400
456,André Brasilier,La Meute,1929,N.A.,"USD 52,500","USD 40,000 - USD 60,000","signed 'André Brasilier' (lower center); signed again with initials, dated and titled 'A.B. 1968 La Meute ' (on the reverse)",oil on canvas,89,116,Painted in 1968,"
    David B. Findlay Galleries, New York.
    
    Private collection, Chicago (acquired from the above, 1974); sale, Christie's, New York, 10 September 2008, lot 107.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0456_000(andre_brasilier_la_meute).jpg?w=400
354,Gustave Loiseau,L’avant port de Fécamp (Normandie),1865,1935,"USD 37,500","USD 25,000 - USD 35,000",signed 'G Loiseau' (lower left),oil on canvas,x,cm.,Painted in Fécamp in 1920,"
    Galerie Durand-Ruel et Cie., Paris (acquired from the artist, June 1920).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0354_000(gustave_loiseau_lavant_port_de_fecamp).jpg?w=400
303,Rembrandt Bugatti,Rhinocéros de trois ans,1884,1916,"USD 996,500","USD 400,000 - USD 600,000","signed, numbered and stamped with foundry mark 'R-Bugatti- (6) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",bronze with brown patina,40,68,Conceived   circa  1909-1910,"
    Galerie A.A. Hébrard, Paris (by 1934).
    
    Acquired by the present owner, by 1990.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0303_000(rembrandt_bugatti_rhinoceros_de_trois_ans).jpg?w=400
495,Jean-Pierre Cassigneul,La statue oubliée,1935,N.A.,"USD 100,000","USD 80,000 - USD 120,000","signed 'CASSIGNEUL' (lower right); titled '""la Statue oubliée'"" (on the reverse)",oil on canvas,161.9,129.9,Painted in 1982,"
    Wally Findlay Galleries, Paris.
    
    Private collection, Japan (1994).
    
    Acquired from the above by the present owners.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0495_000(jean-pierre_cassigneul_la_statue_oubliee).jpg?w=400
315,Moïse Kisling,Portrait d'homme,1891,1953,"USD 112,500","USD 40,000 - USD 60,000",signed and dated 'Kisling 1915' (lower left),oil on canvas,61,50,Painted in 1915,"
    Leopold Zborowski, Paris.
    
    Dominion Gallery, Montreal (by 1947).
    
    Wunderly Gallery, Pennsylvania.
    
    Mrs. Thomas Jameson, Pennsylvania.
    
    Private collection, Pennsylvania (by descent from the above).
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0315_000(moise_kisling_portrait_dhomme).jpg?w=400
529,Édouard Vuillard,"Annette et sa mère, rue de la Tour",1868,1940,"USD 87,500","USD 50,000 - USD 70,000",N.A.,stamped with signature 'E Vuillard' (Lugt 2497a; lower right),49.3,46,Painted   circa  1906,"
    Estate of the artist.
    
    Galerie Berès, Paris.
    
    Galerie Nichido, Tokyo.
    
    Acquired from the above by the present owner,
    
     circa
    
    1989.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0529_000(edouard_vuillard_annette_et_sa_mere_rue_de_la_tour).jpg?w=400
342,Armand Guillaumin,La Seine à Charenton,1841,1927,"USD 50,000","USD 30,000 - USD 50,000",signed 'Guillaumin' (lower right),oil on canvas,24.7,35.5,Painted   circa  1878,"
    George Urion, Paris; sale, Galerie Georges Petit, Paris, 30 May 1927, lot 48.
    
    Arthur Tooth & Sons, Ltd., London.
    
    Acquired from the above by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0342_000(armand_guillaumin_la_seine_a_charenton).jpg?w=400
482,Man Ray,Chess Set,1890,1976,"USD 30,000","USD 20,000 - USD 30,000","signed, dated and inscribed 'man Ray K 1947' (on the underside of the white king)",wooden chess pieces,the,in,N.A.,"
    Private collection, New York.
    
    Acquired by the present owner, 2010.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0482_000(man_ray_chess_set).jpg?w=400
528,Henri Le Sidaner,Les petites vieilles,1862,1939,"USD 35,000","USD 20,000 - USD 30,000",signed 'Le Sidaner' (lower right),oil and charcoal on paper laid down on panel,32.5,44.6,Executed in Beauvais in 1900,"
    Anon. sale, Sotheby's, London, 21 February 1990, lot 10.
    
    Private collection, Connecticut (acquired at the above sale).
    
    Meserve Coale Gallery, Greenwich, Connecticut.
    
    Acquired from the above by the present owner, December 2003.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0528_000(henri_le_sidaner_les_petites_vieilles).jpg?w=400
314,Léonard Tsuguharu Foujita,Jeune fille avec ses chats,1886,1968,"USD 250,000","USD 250,000 - USD 350,000","signed, dated and inscribed 'Foujita Juin 1954 Paris' (lower left); signed, dated and inscribed again 'Foujita 1 Juin 1954 Paris' (on the stretcher)",oil on canvas,35,27,Painted on 1 June 1954,"
    Mr. and Mrs. F. Page Storment, New York (acquired from the artist, 1954); sale, Sotheby's, New York, 3 November 2011, lot 200.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0314_000(leonard_tsuguharu_foujita_jeune_fille_avec_ses_chats).jpg?w=400
302,Rembrandt Bugatti,"Serpent, Python royal",1884,1916,"USD 552,500","USD 150,000 - USD 250,000","signed, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the side)",bronze with brown patina,17.5,55,Conceived   circa  1907,"
    Ettore Bugatti, Molsheim, Alsace (brother of the artist).
    
    L'Ebé Bugatti, Château-la-Valière, France (by descent from the above); sale, Hôtel Drouot, Paris, 18 May 1981, lot 117.
    
    Alain Delon, Paris (acquired at the above sale); sale, Sotheby's, London, 4 April 1990, lot 281.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0302_000(rembrandt_bugatti_serpent_python_royal).jpg?w=400
355,Gustave Loiseau,"La Neige, Pontoise (Le pont du chemin de fer, effet de neige)",1865,1935,"USD 56,250","USD 50,000 - USD 70,000",signed 'G Loiseau' (lower left),oil on canvas,60,81,Painted in 1914,"
    Galerie Durand-Ruel et Cie., Paris (acquired from the artist, March 1914).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0355_000(gustave_loiseau_la_neige_pontoise).jpg?w=400
512,Henri Martin,La Paysanne,1860,1943,"USD 42,500","USD 40,000 - USD 60,000",indistinctly signed (lower right),oil on canvas,82.3,35.9,N.A.,"
    Irving Galleries, Palm Beach.
    
    Acquired from the above by the family of the present owner,
    
     circa
    
    2000.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0512_000(henri_martin_la_paysanne).jpg?w=400
457,Ossip Zadkine,Les Amis,1890,1967,"USD 30,000","USD 25,000 - USD 35,000","signed with initials, numbered and inscribed with foundry mark 'OZ 3/8 Susse Fondeur Paris' (on the right side)",bronze with dark brown patina,38,N.A.,Conceived in 1965; this bronze version cast in 1973,"
    Galerie Artcurial, Paris.
    
    Acquired from the above by the present owner, September 1979.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0457_000(ossip_zadkine_les_amis).jpg?w=400
400,Pablo Picasso,Pichet à lampe (Visage découpé),1881,1973,"USD 112,500","USD 100,000 - USD 150,000",N.A.,dated '5.2.54.' (below the handle); stamped 'Madoura Plein Feu' (on the underside),36.4,N.A.,Executed on 5 February 1954; unique,"
    Estate of the artist.
    
    Marina Picasso, Paris (by descent from the above).
    
    Galerie Yoshii, Tokyo.
    
    Acquired from the above by the present owner,
    
     circa
    
    1989.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0400_000(pablo_picasso_pichet_a_lampe).jpg?w=400
396,Jean Lurçat,Paysage lacustre,1892,1966,"USD 20,000","USD 15,000 - USD 25,000",signed and dated 'Lurçat 27' (lower left),oil and sand on canvas,46,73,Painted in 1927,"
    Etienne Bignou, Paris (1927).
    
    The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London.
    
    Private collection, London; sale, Christie's, London, 29 June 1992, lot 78.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0396_000(jean_lurcat_paysage_lacustre).jpg?w=400
416,Auguste Rodin,"L'un des Bourgeois de Calais: Jean de Fiennes, vêtu, réduction",1840,1917,"USD 175,000","USD 150,000 - USD 250,000",signed 'A. Rodin' (on the top of the base); inscribed with foundry mark '.Alexis RUDIER. Fondeur. PARIS.' (on the back of the base); with raised signature 'A. Rodin' (on the underside),bronze with dark brown patina,46.6,N.A.,Conceived between 1887-1895; this bronze version cast in 1927,"
    Musée Rodin, Paris.
    
    Galerie Bollag, Zurich (acquired from the above, April 1930).
    
    Charles Pacquement, Paris; Estate sale, Galerie Georges Petit, Paris, 12 December 1932, lot 72b.
    
    Galerie Eugène Blot, Paris (acquired at the above sale).
    
    Private collection, France; Estate sale, Paris-Drouot, Etude Bivort, Paris, 31 May 1956, lot 6.
    
    Fine Arts Associates (Otto M. Gerson), New York (acquired at the above sale).
    
    Malborough-Gerson Gallery, New York.
    
    Mr. and Mrs. Josef Rosensaft, New York (acquired from the above, 1965); Estate sale, Sotheby Parke Bernet, Inc., New York, 17 March 1976, lot 2.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0416_000(auguste_rodin_lun_des_bourgeois_de_calais_jean_de_fiennes_vetu_reducti).jpg?w=400
380,Édouard Vuillard,Le peintre Maximilien Luce dans son atelier,1868,1940,"USD 212,500","USD 180,000 - USD 250,000",N.A.,stamped with signature 'E. Vuillard' (Lugt 2497a; lower right),25.1,37.9,Painted   circa  1899,"
    Estate of the artist.
    
    Sam Salz, Inc., New York.
    
    George Armour, New York (1956).
    
    Acquavella Galleries, Inc., New York (1977).
    
    William Beadleston, Inc., New York.
    
    Acquired from the above by the late owner, July 1980.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0380_000(edouard_vuillard_le_peintre_maximilien_luce_dans_son_atelier).jpg?w=400
504,Auguste Rodin,Tête de Camille Claudel au bonnet,1840,1917,"USD 100,000","USD 40,000 - USD 60,000",signed and numbered 'A. Rodin N° 11' (on the front of the base); inscribed with foundry mark '.Georges Rudier. .Fondeur.Paris.' (on the back); inscribed and dated '© by musée Rodin 1971.' (on the right side),bronze with dark brown and green patina,24.5,N.A.,Conceived in 1884; this bronze version cast in 1971,"
    Musée Rodin, Paris.
    
    Netsu International, Paris (acquired from the above, April 1972).
    
    Seibu Department Store, Tokyo (acquired from the above, May 1972).
    
    Acquired by the family of the present owner,
    
     circa
    
    1980.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0504_000(auguste_rodin_tete_de_camille_claudel_au_bonnet).jpg?w=400
441,Claude Monet,La Plaine de Gennevilliers,1840,1926,"USD 1,212,500","USD 1,000,000 - USD 1,500,000",signed 'Claude Monet' (lower right),oil on canvas,49.8,61,Painted in 1877,"
    Gustave Caillebotte, Paris (acquired from the artist).
    
    Martial Caillebotte, Paris (by descent from the above).
    
    Mme Martial Caillebotte, Paris (acquired from the estate of the above, 1929).
    
    Mme Albert Chardeau, Paris.
    
    Acquavella Galleries, Inc., New York (by 1976).
    
    Anon. sale, Sotheby Parke Bernet & Co., London, 1 July 1980, lot 29.
    
    Private collection, Switzerland; sale, Christie's, London, 6 February 2006, lot 75.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0441_000(claude_monet_la_plaine_de_gennevilliers).jpg?w=400
436,Alexander Archipenko,Conversation,1887,1964,"USD 62,500","USD 50,000 - USD 70,000",signed and numbered 'Archipenko 4/12F' (on the right side),bronze with green patina,25.2,N.A.,Conceived in 1936,"
    Estate of the artist.
    
    Anon. sale, Sotheby Parke Bernet, Inc., New York, 29 October 1970, lot 26.
    
    Acquired at the above sale by the late owners.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0436_000(alexander_archipenko_conversation).jpg?w=400
461,Jean-Pierre Cassigneul,Le vase de tulipes,1935,N.A.,"USD 21,250","USD 15,000 - USD 20,000","signed and dated 'CASSIGNEUL 70' (lower left); signed and dated again and titled 'Cassigneul 1970 ""LE VASE de TULIPES""' (on the reverse)",oil on canvas,81,65.4,Painted in 1970,"
    Private collection, Japan (1993).
    
    Acquired from the above by the present owners.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0461_000(jean-pierre_cassigneul_le_vase_de_tulipes).jpg?w=400
524,Maxime Maufra,Les pins de l'île St. Honorat (Alpes-Maritimes),1861,1918,"USD 18,750","USD 15,000 - USD 20,000",signed and dated 'Maufra 1912' (lower right),oil on canvas,81,100,Painted in 1912,"
    Private collection, Buenos Aires.
    
    Anon. sale, Sotheby's, New York, 4 November 1993, lot 363.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0524_000(maxime_maufra_les_pins_de_lile_st_honorat).jpg?w=400
477,Henri Laurens,Deux femmes couchées,1885,1954,"USD 43,750","USD 30,000 - USD 50,000",signed with monogram (on the top of the base),terracotta,33.6,N.A.,Conceived in 1930,"
    Galerie Louise Leiris, Paris.
    
    Galería Leandro Navarro, S.L., Madrid.
    
    Acquired from the above by the present owner, July 2008.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0477_000(henri_laurens_deux_femmes_couchees).jpg?w=400
532,Tamara De Lempicka,La Dormeuse IV (Kizette),1898,1980,"USD 256,250","USD 80,000 - USD 120,000",N.A.,oil on canvas,38,48,Painted   circa  1975,"
    Acquired from the artist by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0532_000(tamara_de_lempicka_la_dormeuse_iv).jpg?w=400
359,Auguste Rodin,"Tête de Balzac au front dégagé et au menton fendu
    
     dit aussi
    
    Tête type H",1840,1917,"USD 18,750","USD 20,000 - USD 30,000","signed, numbered, inscribed and dated 'A. Rodin N <sup>  o </sup> 9 .© by musée Rodin 1980.' (on the right shoulder); inscribed with foundry mark '.Georges Rudier. Fondeur. Paris.' (on the left shoulder); with raised signature 'A. Rodin' (on the underside)",bronze with dark brown patina,30.5,N.A.,Conceived   circa  1894; this bronze version cast in 1980,"
    Musée Rodin, Paris.
    
    Eric Sabers, New York (acquired from the above, February 1985).
    
    Gertrude Stein Gallery, New York.
    
    Anon. sale, Christie's, New York, 6 October 1988, lot 4.
    
    Acquired at the above sale by the family of the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0359_000(auguste_rodin_tete_de_balzac_au_front_degage_et_au_menton_fendu_dit_au).jpg?w=400
420,Maurice Denis,La Pécheresse,1870,1943,"USD 396,500","USD 250,000 - USD 350,000",signed with monogram and dated '94' (lower right),oil on canvas,55.3,69.5,Painted in 1894,"
    Edmond Deman, Brussels (acquired from the artist, 1895).
    
    Galerie Lorenceau, Paris (until 1967).
    
    E.J. van Wisselingh & Co., Amsterdam (1968).
    
    Acquired from the above by the family of the present owner, 1970.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0420_000(maurice_denis_la_pecheresse).jpg?w=400
322,Maurice de Vlaminck,Paysage,1876,1958,"USD 87,500","USD 70,000 - USD 100,000",signed 'Vlaminck' (lower right),oil on canvas,54.5,73,Painted   circa  1928,"
    Galerie Garnier, Bruges.
    
    R. Deweert, Antwerp.
    
    Anon. sale, Sotheby's, Amsterdam, 27 May 2002, lot 144.
    
    Acquired by the present owner, 2008.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0322_000(maurice_de_vlaminck_paysage).jpg?w=400
375,Eugène Boudin,Le port de Trouville,1824,1898,"USD 100,000","USD 30,000 - USD 50,000",signed 'E. Boudin' (lower right),oil on board laid down on cradled panel,17.8,25.1,Painted   circa  1860-1865,"
    Paul Detrimont, Paris.
    
    Stephen Hahn, New York.
    
    Acquired from the above by the late owner, September 1981.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0375_000(eugene_boudin_le_port_de_trouville).jpg?w=400
363,Claude Monet,Nymphéas (fragment),1840,1926,"USD 672,500","USD 250,000 - USD 350,000",N.A.,oil on canvas,59,39,N.A.,"
    Estate of the artist.
    
    Michel Dedecker, France (December 1980).
    
    Galerie Tuffier, Les Andelys, (1981).
    
    Patrick Blanchon, Paris.
    
    Anon. sale, Sotheby Parke Bernet Inc., New York, 21 May 1982, lot 304.
    
    Leonard Andrews, Malvern, Pennsylvania (acquired at the above sale).
    
    Private collection, Maine (acquired from the above, 1990); Estate sale, Skinner, Boston, 13 May 2016, lot 326.
    
    Acquired at the above sale by present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0363_000(claude_monet_nympheas).jpg?w=400
508,Théo van Rysselberghe,Portrait de Jean Keller,1862,1926,"USD 93,750","USD 60,000 - USD 80,000",signed with monogram and dated '1908' (upper left),oil on canvas,142,86.6,Painted in 1908,"
    Dr. Théodore Keller, Paris (acquired from the artist).
    
    Dr. Jean Keller, Paris (by descent from the above).
    
    Acquired by the present owner,
    
     circa
    
    1995.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0508_000(theo_van_rysselberghe_portrait_de_jean_keller).jpg?w=400
435,Aristide Maillol,"Etude pour
    
    Le monument à Paul Cézanne",1861,1944,"USD 50,000","USD 50,000 - USD 70,000","signed with monogram, numbered and inscribed with foundry mark '3/6 Alexis Rudier. .Fondeur. Paris.' (on the back of the base)",bronze with brown and green patina,23.5,35.5,Conceived in 1912,"
    Estate of the artist.
    
    Private collection, New York (acquired from the above).
    
    Jason McCoy, Inc., New York.
    
    Acquired from the above by the late owners, May 1990.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0435_000(aristide_maillol_etude_pour_le_monument_a_paul_cezanne).jpg?w=400
527,Pierre-Auguste Renoir,Coupe de fruits,1841,1919,"USD 348,500","USD 250,000 - USD 350,000",signed 'Renoir.' (upper left),oil on canvas,24.6,39.3,Painted   circa  1897,"
    Galerie Bernheim-Jeune et Cie., Paris.
    
    Alexandre Bernheim-Jeune, Paris (acquired from the above, November 1911).
    
    Galerie Eugène Druet, Paris.
    
    Private collection, Belgium; sale, Christie's, London, 30 June 1999, lot 157.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0527_000(pierre-auguste_renoir_coupe_de_fruits).jpg?w=400
531,André Lhote,Les Châtaigniers,1885,1962,"USD 75,000","USD 80,000 - USD 120,000",signed 'A. LHOTE.' (lower right),oil on canvas,65,81.4,Painted in 1911,"
    Estate of the artist.
    
    Private collection, France (by descent from the above); sale, Christie's, New York, 7 May 2008, lot 366.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0531_000(andre_lhote_les_chataigniers).jpg?w=400
474,Fernand Léger,Composition avec vase (Nature morte avec vase),1881,1955,"USD 456,500","USD 400,000 - USD 600,000",signed and dated 'F.LÉGER 38' (lower right); signed and dated again and titled 'F.LEGER.38 NATURE-MORTE' (on the reverse),oil on canvas,50,64.8,Painted in 1938,"
    Galerie Paul Pétridès, Paris.
    
    Perls Galleries, New York (1973).
    
    Phil Warren; sale, Sotheby Parke Bernet, Inc., New York, 4 November 1982, lot 57.
    
    The Fran and Ray Stark Foundation, Los Angeles (acquired at the above sale); sale, Sotheby's, New York, 6 May 2004, lot 137.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0474_000(fernand_leger_composition_avec_vase).jpg?w=400
423,Paul Sérusier,Pèlerinage,1864,1927,"USD 237,500","USD 100,000 - USD 150,000",signed 'P. Ser' (lower right); signed again and titled 'Sérusier Pèlerinage' (on the reverse),oil on canvas,91,68,Painted in 1894,"
    Private collection, Germany.
    
    Galerie Schwarzer, Dusseldorf.
    
    Claude Kéchichian, Paris.
    
    Olivier Thomas, Paris.
    
    Acquired by the present owner, 2002.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0423_000(paul_serusier_pelerinage).jpg?w=400
458,Tamara De Lempicka,Bouquet de violettes,1898,1980,"USD 150,000","USD 40,000 - USD 60,000",signed 'T.DE LEMPICKA.' (lower left),oil on board,32.7,23.9,Painted   circa  1927,"
    Barry Friedman, New York.
    
    Anon. sale, Christie's, London, 24 June 1986, lot 460.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0458_000(tamara_de_lempicka_bouquet_de_violettes).jpg?w=400
376,Eva Gonzalès,Dessert,1849,1883,"USD 25,000","USD 30,000 - USD 50,000",N.A.,stamped with signature 'Eva Gonzalès' (Lugt 4236; upper right),21.3,34.4,Painted   circa  1875-1876,"
    Estate of the artist; sale, Hôtel Drouot, Paris, 20 February 1885, lot 48.
    
    Jean-Raymond Guérard, Paris (by 1950).
    
    Galerie Alfred Daber, Paris.
    
    Browse & Darby, Ltd., London.
    
    Acquired from the above by the late owner, March 1985.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0376_000(eva_gonzales_dessert).jpg?w=400
